"DateTime;""High temperature"";""Low temperature"";""Normal high temperature"";""Normal low temperature"""
"2024-04-08 00:00:00;18.89;5.56;11.11;1.67"
"2024-04-09 00:00:00;16.67;6.67;11.11;2.22"
"2024-04-10 00:00:00;20.0;7.78;11.11;2.22"
"2024-04-11 00:00:00;14.44;8.33;11.67;2.22"
"2024-04-12 00:00:00;17.22;9.44;11.67;2.78"
"2024-04-13 00:00:00;20.0;5.56;12.22;2.78"
"2024-04-14 00:00:00;24.44;9.44;12.22;2.78"
"2024-04-15 00:00:00;21.67;7.22;12.22;3.33"
"2024-04-16 00:00:00;14.44;5.56;12.78;3.33"
"2024-04-17 00:00:00;19.44;10.56;12.78;3.33"
"2024-04-18 00:00:00;12.22;7.78;13.33;3.89"
"2024-04-19 00:00:00;12.78;3.33;13.33;3.89"
"2024-04-20 00:00:00;7.22;1.67;13.33;3.89"
"2024-04-21 00:00:00;14.44;1.11;13.89;4.44"
"2024-04-22 00:00:00;19.44;5.0;13.89;4.44"
"2024-04-23 00:00:00;21.11;3.89;14.44;4.44"
"2024-04-24 00:00:00;6.11;1.11;14.44;4.44"
"2024-04-25 00:00:00;11.11;-0.56;14.44;4.44"
"2024-04-26 00:00:00;12.22;5.56;14.44;4.44"
"2024-04-27 00:00:00;26.67;10.0;14.44;5.0"
"2024-04-28 00:00:00;16.67;6.67;14.89;5.0"
"2024-04-29 00:00:00;21.11;9.44;14.89;5.0"
"2024-04-30 00:00:00;21.11;7.78;14.89;5.0"
"2024-05-01 00:00:00;24.44;12.22;16.11;6.11"
"2024-05-02 00:00:00;17.78;10.0;16.11;6.11"
"2024-05-03 00:00:00;19.44;8.89;16.67;6.67"
"2024-05-04 00:00:00;21.67;7.78;16.67;6.67"
"2024-05-05 00:00:00;16.11;9.44;16.67;6.67"
"2024-05-06 00:00:00;17.78;8.89;17.22;6.67"
"2024-05-07 00:00:00;16.11;11.11;17.22;7.22"
"2024-05-08 00:00:00;23.89;10.0;17.78;7.22"
"2024-05-09 00:00:00;11.67;8.89;17.78;7.78"
"2024-05-10 00:00:00;21.11;7.78;17.78;7.78"
"2024-05-11 00:00:00;17.22;9.44;18.33;7.78"
"2024-05-12 00:00:00;28.89;7.78;18.33;7.78"
"2024-05-13 00:00:00;25.56;10.56;18.89;8.33"
"2024-05-14 00:00:00;21.11;7.78;18.89;8.33"
"2024-05-15 00:00:00;16.11;8.33;18.89;8.33"
"2024-05-16 00:00:00;25.0;7.22;19.44;8.89"
"2024-05-17 00:00:00;20.56;11.11;19.44;8.89"
"2024-05-18 00:00:00;26.67;10.56;19.44;8.89"
"2024-05-19 00:00:00;23.33;13.33;20.0;9.44"
"2024-05-20 00:00:00;19.44;12.22;20.0;9.44"
"2024-05-21 00:00:00;28.33;13.33;20.0;9.44"
"2024-05-22 00:00:00;24.44;16.11;20.56;10.0"
"2024-05-23 00:00:00;25.56;13.33;20.56;10.0"
"2024-05-24 00:00:00;24.44;11.67;21.11;10.0"
"2024-05-25 00:00:00;21.67;11.67;21.11;10.56"
"2024-05-26 00:00:00;18.33;12.22;21.11;10.56"
